Southern Kitchen, Asian Five-Spice Chicken, LUNCH (11am-2pm)
Southern Kitchen, Vegetable Rice Noodle Lo Mein, LUNCH (11am-2pm)
Southern Kitchen, Vegetable Stir-Fry, LUNCH (11am-2pm)
Southern Kitchen, Chinese Cucumber Salad, LUNCH (11am-2pm)
Southern Kitchen, Fried Edamame Dumplings, LUNCH (11am-2pm)
Southern Kitchen, Blackened Cod Po' Boy, LUNCH (11am-2pm)
Creation Station, Grilled Pita, LUNCH (11am-2pm)
Creation Station, Shawarma Beef, LUNCH (11am-2pm)
Creation Station, Baba Ghanoush, LUNCH (11am-2pm)
Creation Station, Tabbouleh Salad, LUNCH (11am-2pm)
Creation Station, Hummus, LUNCH (11am-2pm)
Creation Station, Broccoli Slaw, LUNCH (11am-2pm)
Creation Station, Tzatziki Sauce, LUNCH (11am-2pm)
Creation Station, Pickled Red Onion, LUNCH (11am-2pm)
Creation Station, Baby Arugula, LUNCH (11am-2pm)
Creation Station, Feta Cheese, LUNCH (11am-2pm)
Creation Station, Sliced Black Olives, LUNCH (11am-2pm)
Creation Station, Fresh Cilantro, LUNCH (11am-2pm)
Creation Station, Diced Tomatoes, LUNCH (11am-2pm)
Creation Station, Roasted Red Peppers, LUNCH (11am-2pm)
Black & Gold Grill, Grilled Chicken Club, LUNCH (11am-2pm)
Black & Gold Grill, Signature Burger, LUNCH (11am-2pm)
Black & Gold Grill, Crinkle Cut Fries, LUNCH (11am-2pm)
Black & Gold Grill, Beyond Burger Patty, LUNCH (11am-2pm)
Black & Gold Grill, Gardenburger Black Bean Patty, LUNCH (11am-2pm)
Black & Gold Grill, American Cheese, LUNCH (11am-2pm)
Black & Gold Grill, Leaf Lettuce, LUNCH (11am-2pm)
Black & Gold Grill, Sliced Tomatoes, LUNCH (11am-2pm)
Black & Gold Grill, Sliced Red Onions, LUNCH (11am-2pm)
Build Your Own Omelet, Fresh Cracked Scrambled Egg, LUNCH (11am-2pm)
Build Your Own Omelet, Shredded Cheddar Cheese, LUNCH (11am-2pm)
Build Your Own Omelet, Crumbled Chorizo Sausage, LUNCH (11am-2pm)
Build Your Own Omelet, Mushrooms, LUNCH (11am-2pm)
Build Your Own Omelet, Diced Red Onions, LUNCH (11am-2pm)
Build Your Own Omelet, Diced Tomatoes, LUNCH (11am-2pm)
Build Your Own Omelet, Diced Mixed Bell Peppers, LUNCH (11am-2pm)
Build Your Own Omelet, Baby Spinach, LUNCH (11am-2pm)
Marketplace Deli, Roast Beef & Cheddar Wrap, LUNCH (11am-2pm)
Marketplace Deli, French Dip Sandwich, LUNCH (11am-2pm)
Marketplace Deli, Cajun Pasta Salad, LUNCH (11am-2pm)
Marketplace Deli, Sliced Turkey Breast, LUNCH (11am-2pm)
Marketplace Deli, Cherrywood Ham, LUNCH (11am-2pm)
Marketplace Deli, Cheddar Cheese, LUNCH (11am-2pm)
Marketplace Deli, Sliced Provolone Cheese, LUNCH (11am-2pm)
Marketplace Deli, Leaf Lettuce, LUNCH (11am-2pm)
Marketplace Deli, Sliced Tomatoes, LUNCH (11am-2pm)
Marketplace Deli, Sliced Red Onions, LUNCH (11am-2pm)
Marketplace Deli, Dill Pickle Slices, LUNCH (11am-2pm)
Marketplace Deli, Charcuterie Cup, LUNCH (11am-2pm)
Marketplace Deli, Hummus, LUNCH (11am-2pm)
Marketplace Deli, Baked Pita Chips, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Honey, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Granola, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Red & Green Grapes, LUNCH (11am-2pm)
Chobani Yogurt And Fruit, Pineapple, LUNCH (11am-2pm)
